,,,,Normalized abundance,,,,,,,,,,,,
AT5G63530.1,1,15.26,"| Symbols: ATFP3, FP3 | farnesylated protein 3 | chr5:25433279-25435614 FORWARD LENGTH=355",10402,9669,13202,1002359,989655,1029878,1155892,1063095,1152365,90.82,101.32,0.0001,0.0007
AT4G26530.1,2,144.23,| Symbols:  | Aldolase superfamily protein | chr4:13391566-13392937 FORWARD LENGTH=358,655,558,301,46628,41823,40824,142287,135017,132968,85.40,271.03,0.0017,0.0004
AT1G17880.1,1,19.46,"| Symbols: BTF3, ATBTF3 | basic transcription factor 3 | chr1:6152572-6153425 REVERSE LENGTH=165",577,1155,92,42937,45428,38826,98066,75747,84851,69.73,141.80,0.0017,0.0056
AT4G02530.1,2,132.81,| Symbols:  | chloroplast thylakoid lumen protein | chr4:1112335-1114005 REVERSE LENGTH=216,4428,2504,3939,208659,191833,172306,629002,586039,590192,52.69,166.06,0.0031,0.0005
AT3G04550.1,1,39.68,"| Symbols:  | unknown protein; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast stroma, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (",709,0,114,10551,11242,11042,18401,16706,16876,39.89,63.16,0.0000,0.0002
AT3G20130.1,1,16.5,"| Symbols: CYP705A22 | cytochrome P450, family 705, subfamily A, polypeptide 22 | chr3:7026982-7028613 FORWARD LENGTH=515",368,1508,1324,55963,42506,26238,94919,84335,63678,38.97,75.91,0.0420,0.0128
AT5G51710.1,1,18.1,"| Symbols: KEA5, ATKEA5 | K+ efflux antiporter 5 | chr5:21004566-21008580 REVERSE LENGTH=568",2460,681,1040,67509,53622,41725,63861,33128,55158,38.96,36.39,0.0188,0.0323
AT1G04730.1,1,16.58,| Symbols: CTF18 | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr1:1325385-1331086 REVERSE LENGTH=943,88590,101532,214214,5269528,5003355,5447433,4415079,4292889,4134972,38.88,31.76,0.0002,0.0000
AT3G63170.1,1,26.72,| Symbols:  | Chalcone-flavanone isomerase family protein | chr3:23334675-23335993 FORWARD LENGTH=279,236,0,0,1959,3059,2952,4466,5905,4321,33.81,62.33,0.0144,0.0095
AT3G27570.1,1,63.27,| Symbols:  | Sucrase/ferredoxin-like family protein | chr3:10214276-10216681 REVERSE LENGTH=379,1467,358,873,33733,26639,28039,40028,38519,39727,32.78,43.85,0.0049,0.0000
AT1G06530.1,1,27.88,| Symbols:  | Tropomyosin-related | chr1:2001625-2002596 FORWARD LENGTH=323,232,0,164,4937,2983,3667,19508,16617,17064,29.30,134.52,0.0215,0.0025
AT2G44290.1,1,15.09,| Symbols:  | Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein | chr2:18305418-18306202 REVERSE LENGTH=205,1443,802,1301,33301,33271,36781,56369,51126,56419,29.15,46.23,0.0009,0.0010
AT3G51840.1,1,27.79,"| Symbols: ACX4, ATSCX, ATG6 | acyl-CoA oxidase 4 | chr3:19225653-19229008 REVERSE LENGTH=436",281,26,486,7447,8360,6719,21313,17205,16348,28.43,69.24,0.0025,0.0068
AT4G31990.1,1,38.25,"| Symbols: ASP5, AAT3, ATAAT1 | aspartate aminotransferase 5 | chr4:15471074-15473521 REVERSE LENGTH=453",1411,262,0,14958,16405,13774,19673,14865,17081,26.98,30.86,0.0003,0.0039
AT1G53520.1,1,39.99,| Symbols:  | Chalcone-flavanone isomerase family protein | chr1:19976485-19977915 REVERSE LENGTH=287,1060,237,979,18711,18002,17037,27340,27319,30300,23.61,37.32,0.0001,0.0007
AT4G23170.1,2,133.61,"| Symbols: EP1, CRK9 | receptor-like protein kinase-related family protein | chr4:12135205-12136002 FORWARD LENGTH=265",1732,1720,3016,56087,47779,48670,97802,91036,98156,23.59,44.38,0.0024,0.0004
AT1G03100.1,1,16.73,| Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr1:744026-746407 REVERSE LENGTH=793,463,0,383,7138,6766,3786,49446,58462,40512,20.90,175.34,0.0319,0.0109
AT4G26500.1,1,15.64,"| Symbols: EMB1374, CPSUFE, ATSUFE, SUFE1 | chloroplast sulfur E | chr4:13382456-13383571 REVERSE LENGTH=371",1,0,652,5536,4385,3499,11148,10366,9971,20.56,48.22,0.0110,0.0001
AT2G04450.1,1,15.02,"| Symbols: ATNUDT6, NUDX6, ATNUDX6, NUDT6 | nudix hydrolase homolog 6 | chr2:1543710-1545319 FORWARD LENGTH=283",136,355,505,5697,5980,8812,24822,22717,21977,20.55,69.72,0.0216,0.0012
AT4G32100.1,1,17.11,"| Symbols:  | Beta-1,3-N-Acetylglucosaminyltransferase family protein | chr4:15511757-15512218 REVERSE LENGTH=122",0,0,2490,18533,17966,11785,27201,18978,27860,19.39,29.73,0.0112,0.0095
AT3G28930.1,2,132.47,| Symbols: AIG2 | AIG2-like (avirulence induced gene) family protein | chr3:10959890-10960728 REVERSE LENGTH=170,1144,943,68,13301,15578,11432,62453,58825,65041,18.70,86.45,0.0057,0.0006
AT4G12720.1,1,88.34,"| Symbols: AtNUDT7, GFG1, NUDT7, ATNUDX7 | MutT/nudix family protein | chr4:7487716-7489557 FORWARD LENGTH=282",1598,2110,1944,32638,34551,34234,125806,112630,134134,17.95,65.93,0.0002,0.0026
AT1G73230.1,1,19.89,| Symbols:  | Nascent polypeptide-associated complex NAC | chr1:27540506-27541364 REVERSE LENGTH=165,5892,183,1865,45025,45282,39574,97452,78649,88643,16.36,33.34,0.0001,0.0020
AT1G72370.1,1,18.82,"| Symbols: P40, AP40, RP40, RPSAA | 40s ribosomal protein SA | chr1:27243148-27244842 REVERSE LENGTH=298",1584,0,0,9092,7734,9020,11899,9571,12157,16.31,21.23,0.0004,0.0009
AT5G58250.1,1,45.44,"| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: thylakoid, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: ",4813,822,2181,44480,38061,43794,124678,120808,120783,16.16,46.86,0.0003,0.0000
AT2G27720.1;AT2G27720.2,1,99.12,| Symbols:  | 60S acidic ribosomal protein family | chr2:11818696-11819370 FORWARD LENGTH=115,672,2128,1482,23118,24726,20530,56805,52284,52280,15.97,37.68,0.0014,0.0004
AT1G20340.1,8,612.28,"| Symbols: DRT112, PETE2 | Cupredoxin superfamily protein | chr1:7042770-7043273 REVERSE LENGTH=167",394117,414083,479454,7254877,7160318,5989203,9828823,9569123,11323434,15.85,23.86,0.0039,0.0030
AT3G01590.1,1,53.69,| Symbols:  | Galactose mutarotase-like superfamily protein | chr3:226647-228346 FORWARD LENGTH=306,477,1037,354,9110,10711,9282,24823,22846,22370,15.58,37.49,0.0009,0.0005
AT5G13120.1,2,45.08,"| Symbols: ATCYP20-2, CYP20-2 | cyclophilin 20-2 | chr5:4162714-4164720 REVERSE LENGTH=259",3558,1994,3803,48402,48146,39543,79123,77797,74516,14.55,24.74,0.0036,0.0000
AT2G44920.2;AT2G44920.1,4,374.44,| Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr2:18524419-18526502 FORWARD LENGTH=224,29965,29245,25999,408193,427526,348961,1225139,1120620,1179385,13.90,41.37,0.0041,0.0007
AT1G78680.1,1,36.46,"| Symbols: ATGGH2, GGH2 | gamma-glutamyl hydrolase 2 | chr1:29593933-29596037 FORWARD LENGTH=347",2030,434,475,13677,12640,14338,25761,21908,24453,13.83,24.54,0.0001,0.0005
AT2G06050.1,1,27.58,"| Symbols: OPR3, DDE1 | oxophytodienoate-reductase 3 | chr2:2359240-2361971 REVERSE LENGTH=391",665,109,245,5011,4633,4405,7424,7546,7056,13.79,21.61,0.0001,0.0000
AT1G31160.1,1,34.53,| Symbols: HINT 2 | HISTIDINE TRIAD NUCLEOTIDE-BINDING 2 | chr1:11122880-11124106 REVERSE LENGTH=187,1793,2020,2141,27239,25652,28668,38135,36895,38907,13.70,19.14,0.0010,0.0002
AT3G50820.1,3,391.67,"| Symbols: PSBO2, PSBO-2, OEC33 | photosystem II subunit O-2 | chr3:18891008-18892311 REVERSE LENGTH=331",21926,16645,15775,248054,238525,256630,681591,661991,696432,13.68,37.54,0.0001,0.0001
AT5G61130.1,1,16.51,| Symbols: PDCB1 | plasmodesmata callose-binding protein 1 | chr5:24587438-24589369 REVERSE LENGTH=201,75,503,2522,10976,14258,15783,22675,21401,23688,13.23,21.86,0.0040,0.0000
AT5G57850.1,1,43.26,| Symbols:  | D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein | chr5:23435548-23437287 REVERSE LENGTH=373,192,133,0,1083,1770,1120,4727,4977,4067,12.23,42.38,0.0261,0.0026
AT1G76100.1,2,153.26,| Symbols: PETE1 | plastocyanin 1 | chr1:28554217-28554732 REVERSE LENGTH=171,145097,281931,195252,2591979,2472030,2414976,4206801,4324315,4876682,12.02,21.55,0.0000,0.0017
AT5G55220.1,1,16.44,| Symbols:  | trigger factor type chaperone family protein | chr5:22397677-22400678 FORWARD LENGTH=547,3064,1671,1248,22030,21772,24266,39030,43118,39631,11.38,20.35,0.0001,0.0002
AT5G16840.1,1,73.88,| Symbols: BPA1 | binding partner of acd11 1 | chr5:5536042-5538026 FORWARD LENGTH=259,1910,1469,1094,14505,19666,15920,48528,44952,57692,11.20,33.80,0.0089,0.0058
AT5G13410.1,1,40.01,| Symbols:  | FKBP-like peptidyl-prolyl cis-trans isomerase family protein | chr5:4299830-4301706 REVERSE LENGTH=256,0,0,1150,1697,7171,3956,10280,9408,10251,11.14,26.02,0.1270,0.0001
AT5G40370.1;AT5G40370.2,4,374.05,| Symbols:  | Glutaredoxin family protein | chr5:16147826-16149052 REVERSE LENGTH=111,106144,105315,96479,1159516,1101994,1155563,1802419,1772878,1846656,11.10,17.61,0.0002,0.0001
AT1G42480.1,1,27.66,| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Pro,430,849,658,7183,7599,6677,11371,11241,11138,11.08,17.43,0.0003,0.0000
AT3G12580.1,1,236.89,"| Symbols: HSP70, ATHSP70 | heat shock protein 70 | chr3:3991487-3993689 REVERSE LENGTH=650",2222,3046,1095,21129,25116,20942,73038,59284,67610,10.56,31.41,0.0015,0.0033
AT5G39050.1,2,79.64,| Symbols:  | HXXXD-type acyl-transferase family protein | chr5:15634596-15636005 FORWARD LENGTH=469,3300,946,1347,21519,16060,21073,74372,65362,70310,10.49,37.56,0.0041,0.0007
AT1G50250.1,1,46.06,| Symbols: FTSH1 | FTSH protease 1 | chr1:18614398-18616930 REVERSE LENGTH=716,1029,204,736,8153,6560,5793,23797,22991,19095,10.42,33.46,0.0070,0.0038
AT1G18190.1,1,15.77,| Symbols: GC2 | golgin candidate 2 | chr1:6257963-6261325 REVERSE LENGTH=668,7520,5466,7186,64909,74313,68162,110876,114571,112188,10.28,16.74,0.0012,0.0000
AT3G27830.1,1,34.07,"| Symbols: RPL12-A, RPL12 | ribosomal protein L12-A | chr3:10318576-10319151 FORWARD LENGTH=191",3659,560,1223,21161,22710,11707,105415,117989,89432,10.21,57.49,0.0324,0.0059
AT1G66100.1,1,63.23,| Symbols:  | Plant thionin | chr1:24605876-24606473 REVERSE LENGTH=134,625,1192,6682,32142,25580,28645,97351,136673,110826,10.16,40.57,0.0007,0.0089
AT2G48000.1,1,19.95,| Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr2:19639270-19640803 REVERSE LENGTH=481,75750,38903,24533,420869,350271,520799,423097,341869,382365,9.28,8.24,0.0107,0.0006
AT3G44110.1,1,62.02,"| Symbols: ATJ3, ATJ | DNAJ homologue 3 | chr3:15869115-15871059 REVERSE LENGTH=420",284,862,1237,7065,7575,7012,22564,18061,27853,9.09,28.74,0.0001,0.0154
AT2G27790.1,1,24.99,| Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr2:11847335-11849285 REVERSE LENGTH=240,78906,10439,17221,315747,308577,328570,207924,192008,222831,8.94,5.84,0.0037,0.0079
AT1G31150.1,1,16.34,| Symbols:  | Domain of unknown function (DUF1985) | chr1:11120097-11122412 FORWARD LENGTH=673,898,662,644,3611,5204,10669,4352,2130,7265,8.84,6.24,0.1143,0.1220
AT3G52960.1,10,705.1,| Symbols:  | Thioredoxin superfamily protein | chr3:19639699-19640403 FORWARD LENGTH=234,219268,197443,281011,2020836,1968491,1979902,4563517,4560689,4624044,8.56,19.70,0.0000,0.0000
AT2G42540.1;AT2G42540.3,3,118.61,"| Symbols: COR15A, COR15 | cold-regulated 15a | chr2:17711241-17711930 REVERSE LENGTH=127",27930,25933,20182,187324,218283,197001,337337,341672,381791,8.14,14.33,0.0016,0.0015
AT2G37760.1,1,29.65,| Symbols:  | NAD(P)-linked oxidoreductase superfamily protein | chr2:15831995-15833742 FORWARD LENGTH=311,874,1744,698,10877,10567,5063,13291,11825,12501,8.00,11.35,0.0511,0.0000
AT4G01610.1,1,24.95,| Symbols:  | Cysteine proteinases superfamily protein | chr4:694857-696937 FORWARD LENGTH=359,1031,685,76,5671,4552,3823,16196,14478,12975,7.84,24.35,0.0066,0.0024
AT4G13700.1,1,19.3,"| Symbols: ATPAP23, PAP23 | purple acid phosphatase 23 | chr4:7957072-7958919 REVERSE LENGTH=458",9770,3987,10544,62924,65362,61813,32257,27786,35871,7.82,3.95,0.0002,0.0017
AT5G02790.1,2,56.77,| Symbols: GSTL3 | Glutathione S-transferase family protein | chr5:632877-634858 FORWARD LENGTH=235,24620,11995,11072,126919,116567,127029,203312,206432,208688,7.77,12.97,0.0001,0.0001
AT4G37380.1,1,16.74,| Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr4:17572040-17573938 REVERSE LENGTH=632,7640,11190,6862,82850,71486,44888,67042,60440,52414,7.75,7.00,0.0342,0.0037
AT2G32080.1,1,60.72,| Symbols: PUR ALPHA-1 | purin-rich alpha 1 | chr2:13642716-13644036 REVERSE LENGTH=296,1202,1380,699,9944,7513,7804,13318,15567,14771,7.70,13.30,0.0074,0.0011
AT2G27710.1,1,82.69,| Symbols:  | 60S acidic ribosomal protein family | chr2:11816929-11817670 FORWARD LENGTH=115,52,0,1302,3425,4473,2437,31671,27572,28230,7.63,64.58,0.0176,0.0008
AT3G09440.1,2,369.71,| Symbols:  | Heat shock protein 70 (Hsp 70) family protein | chr3:2903434-2905632 REVERSE LENGTH=649,5879,2129,1473,24624,29179,16946,91739,60368,76049,7.46,24.06,0.0187,0.0135
AT4G10300.1,3,147.11,| Symbols:  | RmlC-like cupins superfamily protein | chr4:6384564-6385946 FORWARD LENGTH=134,46972,40310,34058,289719,311311,283855,639251,649614,694269,7.29,16.34,0.0002,0.0004
AT5G49200.1,1,20.35,| Symbols:  | WD-40 repeat family protein / zfwd4 protein (ZFWD4) | chr5:19947796-19949055 REVERSE LENGTH=419,6906,5786,5745,82647,39750,10564,171286,87748,90638,7.21,18.97,0.2097,0.0563
AT1G72230.1,2,50.59,| Symbols:  | Cupredoxin superfamily protein | chr1:27188287-27189093 FORWARD LENGTH=181,16991,10146,2730,73591,68327,68417,54641,52181,55471,7.04,5.43,0.0015,0.0062
AT5G16620.1,1,16.42,"| Symbols: PDE120, TIC40, ATTIC40 | hydroxyproline-rich glycoprotein family protein | chr5:5450808-5454256 FORWARD LENGTH=447",2398,1483,3823,16524,18137,18551,28773,30162,30218,6.91,11.57,0.0001,0.0000
AT5G19860.1,1,62.98,"| Symbols:  | Protein of unknown function, DUF538 | chr5:6714533-6715837 REVERSE LENGTH=181",827,3085,2977,17814,16926,12131,70557,70076,64094,6.80,29.72,0.0087,0.0003
AT1G13930.1,1,56.99,| Symbols:  | Involved in response to salt stress.  Knockout mutants are hypersensitive to salt stress. | chr1:4761091-4761558 FORWARD LENGTH=155,13960,6075,12720,68391,74395,70182,36090,33638,43461,6.50,3.46,0.0001,0.0025
AT3G59920.1,1,18.51,"| Symbols: ATGDI2, GDI2 | RAB GDP dissociation inhibitor 2 | chr3:22135157-22138221 FORWARD LENGTH=444",14814,4401,2996,47113,46600,50226,33495,33436,36272,6.48,4.65,0.0050,0.0142
AT1G68960.1,1,17.32,| Symbols:  | Protein of unknown function (DUF295) | chr1:25929943-25931143 FORWARD LENGTH=376,1052,1891,1622,9859,10406,9106,6367,5332,6063,6.44,3.89,0.0001,0.0005
AT1G50900.1,1,22.84,| Symbols: GDC1 | Ankyrin repeat family protein | chr1:18866272-18867014 FORWARD LENGTH=175,1835,1246,2144,12731,10115,10708,16817,15962,18996,6.42,9.91,0.0036,0.0018
AT3G55040.1,1,17.7,| Symbols: GSTL2 | glutathione transferase lambda 2 | chr3:20398718-20400305 REVERSE LENGTH=292,406,2421,2079,11993,9938,8937,13237,15907,16426,6.29,9.29,0.0022,0.0008
AT1G12310.1,2,221.99,| Symbols:  | Calcium-binding EF-hand family protein | chr1:4187500-4187946 REVERSE LENGTH=148,1429,2390,7066,25475,24952,17255,141215,131236,123065,6.22,36.34,0.0063,0.0006
AT1G62780.1,2,91.39,"| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast, chloroplast stroma; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; Has 94 Blast hits t",7282,4704,6523,39872,38791,35410,98677,94167,86508,6.16,15.09,0.0002,0.0011
AT5G04430.1,1,31.7,"| Symbols: BTR1, BTR1S | binding to TOMV RNA 1L (long form) | chr5:1250602-1253523 REVERSE LENGTH=313",444,1831,568,6900,5395,5109,13059,11784,13963,6.12,13.65,0.0029,0.0002
AT1G22840.1,1,24.49,"| Symbols: CYTC-1, ATCYTC-A | CYTOCHROME C-1 | chr1:8079384-8080286 FORWARD LENGTH=114",169,0,18,535,541,71,4521,5191,4014,6.12,73.20,0.1668,0.0048
AT3G18060.1,1,16.51,| Symbols:  | transducin family protein / WD-40 repeat family protein | chr3:6183880-6186788 FORWARD LENGTH=609,2841,3629,5150,21798,23899,24043,10867,11766,10291,6.00,2.83,0.0000,0.0019
AT2G47910.1,1,27.46,| Symbols: CRR6 | chlororespiratory reduction 6 | chr2:19614741-19615559 FORWARD LENGTH=246,4581,1910,1744,17243,14090,17815,20148,19252,21802,5.97,7.43,0.0010,0.0002
AT1G51850.1,1,20.7,| Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:19252964-19256783 REVERSE LENGTH=865,16126,3606,2288,52670,39835,37573,64158,50614,68842,5.91,8.34,0.0051,0.0019
AT2G42530.1,4,198.62,| Symbols: COR15B | cold regulated 15b | chr2:17709191-17709873 REVERSE LENGTH=141,7695,35375,50066,169356,193288,184336,392439,375653,430623,5.87,12.87,0.0014,0.0001
AT2G23350.1,2,50.43,"| Symbols: PAB4, PABP4 | poly(A) binding protein 4 | chr2:9943209-9946041 FORWARD LENGTH=662",6460,9165,8661,46664,45940,47128,86483,85336,84227,5.75,10.54,0.0001,0.0000
AT5G53140.1,1,21.68,| Symbols:  | Protein phosphatase 2C family protein | chr5:21549228-21552132 FORWARD LENGTH=420,5851,3970,1282,20675,21757,21006,13219,13109,14927,5.71,3.72,0.0039,0.0080
AT2G17190.1,1,31.68,| Symbols:  | ubiquitin family protein | chr2:7478272-7481361 REVERSE LENGTH=538,935,582,167,3316,3243,2930,27264,25424,22958,5.64,44.94,0.0018,0.0020
AT5G19450.1,1,27.25,"| Symbols: CDPK19, CPK8 | calcium-dependent protein kinase 19 | chr5:6558672-6561471 REVERSE LENGTH=533",210,424,254,1681,1778,1469,8903,8943,10094,5.55,31.46,0.0005,0.0015
AT4G23210.1,1,38.65,| Symbols: CRK13 | cysteine-rich RLK (RECEPTOR-like protein kinase) 13 | chr4:12149154-12151418 REVERSE LENGTH=610,547,122,420,2131,1913,1946,4636,4494,2607,5.50,10.78,0.0013,0.0286
AT1G10960.1,1,130.85,"| Symbols: ATFD1, FD1 | ferredoxin 1 | chr1:3664445-3664891 FORWARD LENGTH=148",40897,21038,21245,174136,159540,123779,867011,822155,885366,5.50,30.95,0.0063,0.0001
AT3G10850.1,1,19.62,"| Symbols: GLX2-2, GLY2 | Metallo-hydrolase/oxidoreductase superfamily protein | chr3:3397756-3399522 REVERSE LENGTH=258",2103,2966,2388,13815,13275,13437,21663,23351,24331,5.43,9.30,0.0000,0.0005
AT5G66090.1,1,37.09,"| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; LOCATED IN: chloroplast, chloroplast stroma; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; Has 30201 Blast hits to 17322 proteins in 780 species: Archa",5509,2531,1010,16251,16010,15914,30538,30959,29244,5.32,10.03,0.0098,0.0007
AT1G06680.1,6,401.16,"| Symbols: PSBP-1, OEE2, PSII-P, OE23 | photosystem II subunit P-1 | chr1:2047940-2049186 FORWARD LENGTH=263",855069,849579,788698,4596738,4461317,4160421,12507984,12025449,13135879,5.30,15.11,0.0010,0.0007
AT2G43535.1,1,21.12,| Symbols:  | Scorpion toxin-like knottin superfamily protein | chr2:18071130-18071560 FORWARD LENGTH=97,5050,3467,3941,24989,20969,16953,21457,19027,15291,5.05,4.48,0.0155,0.0110
AT3G22980.1,1,31.49,| Symbols:  | Ribosomal protein S5/Elongation factor G/III/V family protein | chr3:8160269-8163316 REVERSE LENGTH=1015,92770,87291,115163,480623,475512,522914,400863,428385,439765,5.01,4.30,0.0001,0.0000
AT5G19230.1,3,269.78,| Symbols:  | Glycoprotein membrane precursor GPI-anchored | chr5:6467636-6468337 FORWARD LENGTH=189,86839,67400,67807,382358,334917,378343,704651,645868,703753,4.93,9.25,0.0007,0.0004
AT1G55260.1,2,112.81,| Symbols:  | Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein | chr1:20614663-20616158 FORWARD LENGTH=227,34566,27710,35919,158624,160924,155055,300484,261735,323389,4.83,9.02,0.0000,0.0041
AT4G25050.1,1,52.2,| Symbols: ACP4 | acyl carrier protein 4 | chr4:12870178-12871024 FORWARD LENGTH=137,26179,32953,16825,138940,135567,85864,576496,524291,484380,4.74,20.87,0.0246,0.0022
AT1G78820.1,1,43.63,| Symbols:  | D-mannose binding lectin protein with Apple-like carbohydrate-binding domain | chr1:29634401-29635768 REVERSE LENGTH=455,10232,7515,9261,39208,43608,43220,61070,67001,61020,4.67,7.00,0.0002,0.0003
AT4G02450.1,3,79.92,| Symbols:  | HSP20-like chaperones superfamily protein | chr4:1073987-1075765 REVERSE LENGTH=241,26753,25429,29902,131324,120167,131171,217305,224591,233728,4.66,8.23,0.0004,0.0002
AT4G08390.1;AT4G08390.4,2,65.39,| Symbols: SAPX | stromal ascorbate peroxidase | chr4:5314999-5317071 FORWARD LENGTH=372,3486,4054,3475,19245,17222,14726,26845,23483,28497,4.65,7.16,0.0083,0.0037
AT3G14930.1,1,16.85,| Symbols: HEME1 | Uroporphyrinogen decarboxylase | chr3:5020675-5022577 FORWARD LENGTH=418,5119,1365,0,10707,9768,9617,12713,12118,13848,4.64,5.97,0.0308,0.0129
AT1G50700.1,1,49.27,| Symbols: CPK33 | calcium-dependent protein kinase 33 | chr1:18782214-18784385 FORWARD LENGTH=521,2035,3344,850,10310,9488,9096,39907,40255,38827,4.64,19.10,0.0028,0.0000
AT4G18720.1,1,15.35,| Symbols:  | Transcription factor IIS protein | chr4:10299945-10301228 FORWARD LENGTH=266,8925,6579,7426,28974,38792,37719,25624,18688,33833,4.60,3.41,0.0098,0.0491
AT2G22475.1,1,45.76,| Symbols: GEM | GRAM domain family protein | chr2:9541523-9544778 FORWARD LENGTH=299,1351,0,609,2739,2923,3213,19434,17731,18727,4.53,28.51,0.0184,0.0000
AT2G20270.1;AT2G20270.2,4,123.5,| Symbols:  | Thioredoxin superfamily protein | chr2:8738001-8739617 REVERSE LENGTH=179,17682,21670,24166,105940,103661,76198,254784,210730,216736,4.50,10.74,0.0136,0.0039
AT5G59880.1,2,59.44,| Symbols: ADF3 | actin depolymerizing factor 3 | chr5:24120382-24121628 FORWARD LENGTH=139,8085,6363,8957,43635,30957,28756,80064,58947,73015,4.42,9.06,0.0263,0.0088
AT1G31812.1,4,224.84,"| Symbols: ACBP6, ACBP | acyl-CoA-binding protein 6 | chr1:11411132-11412099 REVERSE LENGTH=92",191070,173299,224040,842613,855019,900242,1572880,1580913,1512189,4.42,7.93,0.0000,0.0000
AT5G53490.1,5,194.53,| Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr5:21723488-21724621 REVERSE LENGTH=236,86460,124675,140299,521535,519125,492106,1335760,1264830,1273037,4.36,11.02,0.0001,0.0000
AT5G42980.1,4,193.26,"| Symbols: ATTRX3, ATH3, ATTRXH3, TRXH3, TRX3 | thioredoxin 3 | chr5:17242772-17243718 FORWARD LENGTH=118",629619,616244,541374,2597899,2768004,2386526,4463268,4245031,4189293,4.34,7.22,0.0019,0.0002
